+0.0000000e+00 +1.6666670e-02 +1.2963849e+00 +1.1613568e-01 +9.3490283e+00 +1.0129991e+00 +1.6478434e+00
+1.6666670e-02 +3.3333330e-02 +1.2990395e+00 +1.1149159e-01 +9.5982338e+00 +1.0113466e+00 +1.6575221e+00
+3.3333330e-02 +5.0000000e-02 +1.2808472e+00 +1.1283059e-01 +9.4075175e+00 +9.9903926e-01 +1.6292780e+00
+5.0000000e-02 +6.6666670e-02 +1.3348643e+00 +1.1824705e-01 +9.6397052e+00 +1.0422072e+00 +1.6897144e+00
+6.6666670e-02 +8.3333330e-02 +1.3753704e+00 +1.2238532e-01 +9.9423651e+00 +1.0737303e+00 +1.7425464e+00
+8.3333330e-02 +1.0000000e-01 +1.3323887e+00 +1.1943566e-01 +9.5490781e+00 +1.0417564e+00 +1.6846965e+00
+1.0000000e-01 +1.1666670e-01 +1.3019934e+00 +1.1631975e-01 +9.4550731e+00 +1.0170670e+00 +1.6555183e+00
+1.1666670e-01 +1.3333330e-01 +1.3253419e+00 +1.1624198e-01 +9.7837004e+00 +1.0348571e+00 +1.6888491e+00
+1.3333330e-01 +1.5000000e-01 +1.3616471e+00 +1.2344198e-01 +9.7687617e+00 +1.0655884e+00 +1.7229544e+00
+1.5000000e-01 +1.6666670e-01 +1.3218690e+00 +1.1231919e-01 +9.6242679e+00 +1.0313509e+00 +1.6851804e+00
+1.6666670e-01 +1.8333330e-01 +1.3436677e+00 +1.1327333e-01 +9.9946271e+00 +1.0455185e+00 +1.7175761e+00
+1.8333330e-01 +2.0000000e-01 +1.3544441e+00 +1.1848663e-01 +9.9536825e+00 +1.0568162e+00 +1.7272349e+00
+2.0000000e-01 +2.1666670e-01 +1.3491281e+00 +1.1804648e-01 +9.8923005e+00 +1.0524160e+00 +1.7200232e+00
+2.1666670e-01 +2.3333330e-01 +1.3427676e+00 +1.1483381e-01 +9.8159549e+00 +1.0475908e+00 +1.7146695e+00
+2.3333330e-01 +2.5000000e-01 +1.3673681e+00 +1.1516067e-01 +1.0192947e+01 +1.0660549e+00 +1.7510172e+00
+2.5000000e-01 +2.6666670e-01 +1.3802333e+00 +1.1350272e-01 +1.0319924e+01 +1.0745857e+00 +1.7694187e+00
+2.6666670e-01 +2.8333330e-01 +1.3209001e+00 +1.1475203e-01 +9.7365424e+00 +1.0301967e+00 +1.6914974e+00
+2.8333330e-01 +3.0000000e-01 +1.4015709e+00 +1.2618060e-01 +1.0142921e+01 +1.0966826e+00 +1.7852715e+00
+3.0000000e-01 +3.1666670e-01 +1.3667300e+00 +1.1693817e-01 +1.0044585e+01 +1.0680527e+00 +1.7457394e+00
+3.1666670e-01 +3.3333330e-01 +1.3767979e+00 +1.1705475e-01 +1.0183551e+01 +1.0735657e+00 +1.7636136e+00
+3.3333330e-01 +3.5000000e-01 +1.2642184e+00 +1.0885736e-01 +9.3113821e+00 +9.8544549e-01 +1.6229029e+00
+3.5000000e-01 +3.6666670e-01 +1.3707922e+00 +1.1607654e-01 +1.0229379e+01 +1.0682731e+00 +1.7550132e+00
+3.6666670e-01 +3.8333330e-01 +1.3282417e+00 +1.0934625e-01 +9.9773648e+00 +1.0321840e+00 +1.7103868e+00
+3.8333330e-01 +4.0000000e-01 +1.3542278e+00 +1.1720837e-01 +9.9758692e+00 +1.0576516e+00 +1.7305593e+00
+4.0000000e-01 +4.1666670e-01 +1.3264252e+00 +1.1188437e-01 +9.7499482e+00 +1.0350578e+00 +1.6965428e+00
+4.1666670e-01 +4.3333330e-01 +1.3023519e+00 +1.1279291e-01 +9.5431051e+00 +1.0172904e+00 +1.6658475e+00
+4.3333330e-01 +4.5000000e-01 +1.2322037e+00 +1.0641994e-01 +8.9905578e+00 +9.6178881e-01 +1.5752851e+00
+4.5000000e-01 +4.6666670e-01 +1.2710613e+00 +1.0508539e-01 +9.4671138e+00 +9.9048548e-01 +1.6309489e+00
+4.6666670e-01 +4.8333330e-01 +1.2807115e+00 +1.0503893e-01 +9.6539841e+00 +9.9583341e-01 +1.6492604e+00
+4.8333330e-01 +5.0000000e-01 +1.2706530e+00 +1.0565581e-01 +9.4177667e+00 +9.9181113e-01 +1.6289507e+00
+5.0000000e-01 +5.1666670e-01 +1.2195250e+00 +1.0155863e-01 +8.9765067e+00 +9.5095842e-01 +1.5622994e+00
+5.1666670e-01 +5.3333330e-01 +1.2488616e+00 +9.8554897e-02 +9.5167378e+00 +9.6959608e-01 +1.6088652e+00
+5.3333330e-01 +5.5000000e-01 +1.1975292e+00 +9.8582440e-02 +8.9592909e+00 +9.3204092e-01 +1.5409301e+00
+5.5000000e-01 +5.6666670e-01 +1.1656621e+00 +9.6699539e-02 +8.6658009e+00 +9.0739483e-01 +1.4962340e+00
+5.6666670e-01 +5.8333330e-01 +1.2046274e+00 +9.8560776e-02 +9.0198078e+00 +9.3839227e-01 +1.5491084e+00
+5.8333330e-01 +6.0000000e-01 +1.1736804e+00 +9.3710555e-02 +8.9243186e+00 +9.1274896e-01 +1.5142070e+00
+6.0000000e-01 +6.1666670e-01 +1.2041153e+00 +9.6546828e-02 +9.1254478e+00 +9.3547649e-01 +1.5500592e+00
+6.1666670e-01 +6.3333330e-01 +1.1372347e+00 +8.6634087e-02 +8.8129672e+00 +8.8175096e-01 +1.4724123e+00
+6.3333330e-01 +6.5000000e-01 +1.1290253e+00 +8.9661954e-02 +8.5304241e+00 +8.7804807e-01 +1.4575597e+00
+6.5000000e-01 +6.6666670e-01 +1.0710428e+00 +8.9612639e-02 +7.9500012e+00 +8.3497335e-01 +1.3755673e+00
+6.6666670e-01 +6.8333330e-01 +1.0526488e+00 +8.4382422e-02 +7.8754312e+00 +8.1881443e-01 +1.3573267e+00
+6.8333330e-01 +7.0000000e-01 +1.0854645e+00 +8.2292800e-02 +8.3086292e+00 +8.4127959e-01 +1.4052634e+00
+7.0000000e-01 +7.1666670e-01 +1.0332611e+00 +8.2584688e-02 +7.7161907e+00 +8.0292958e-01 +1.3295781e+00
+7.1666670e-01 +7.3333330e-01 +1.0068441e+00 +8.3181559e-02 +7.3805328e+00 +7.8507332e-01 +1.2899338e+00
+7.3333330e-01 +7.5000000e-01 +1.0407199e+00 +7.6233709e-02 +8.1407869e+00 +8.0516277e-01 +1.3538191e+00
+7.5000000e-01 +7.6666670e-01 +1.0360371e+00 +7.6634589e-02 +8.0461851e+00 +8.0205130e-01 +1.3396004e+00
+7.6666670e-01 +7.8333330e-01 +1.0108996e+00 +7.6584165e-02 +7.7523071e+00 +7.8303923e-01 +1.3056884e+00
+7.8333330e-01 +8.0000000e-01 +9.6525096e-01 +7.3412640e-02 +7.3827963e+00 +7.4794616e-01 +1.2527759e+00
+8.0000000e-01 +8.1666670e-01 +9.8915465e-01 +7.0111672e-02 +7.7796718e+00 +7.6387564e-01 +1.2839509e+00
+8.1666670e-01 +8.3333330e-01 +9.5856847e-01 +7.0837730e-02 +7.4147124e+00 +7.4226755e-01 +1.2394305e+00
+8.3333330e-01 +8.5000000e-01 +9.4987738e-01 +7.0867797e-02 +7.3303822e+00 +7.3610917e-01 +1.2267518e+00
+8.5000000e-01 +8.6666670e-01 +9.0842616e-01 +6.9617565e-02 +6.8910601e+00 +7.0493953e-01 +1.1713055e+00
+8.6666670e-01 +8.8333330e-01 +9.5228501e-01 +7.1551224e-02 +7.3373298e+00 +7.3837104e-01 +1.2323266e+00
+8.8333330e-01 +9.0000000e-01 +9.0972962e-01 +6.4665023e-02 +7.2439306e+00 +7.0240379e-01 +1.1820010e+00
+9.0000000e-01 +9.1666670e-01 +8.4753319e-01 +5.8929525e-02 +6.6022626e+00 +6.5447636e-01 +1.1024401e+00
